Jugador,Puesto,Equipo,Cotizacion,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,PCG,AcG,PrG,PCT,AcT,PrT,G,GJ,GP,GV,GR,GC,VF,VI,TA,TR,PE,PA
"Bulasio, Ariel",ARQ,Aldosivi de MdP,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Campodónico, Pablo",ARQ,Aldosivi de MdP,3200000,3,5,3,4,9,0,9,13,0,10,9,2,13,3,5,13,80,6.15,15,88,5.87,0,0,0,0,20,0,1,6,2,0,0,1
"Vega, Matías",ARQ,Aldosivi de MdP,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Canever, Franco",DEF,Aldosivi de MdP,2500000,3,5,4,5,8,5,7,8,0,7,7,4,8,6,5,12,74,6.17,14,82,5.86,0,0,0,0,0,0,0,6,1,0,0,0
"Díaz, Gastón",DEF,Aldosivi de MdP,2600000,5,3,3,2,11,9,8,7,0,6,0,3,7,12,1,11,69,6.27,13,77,5.92,3,1,2,1,0,0,0,5,7,1,0,0
"León, Federico",DEF,Aldosivi de MdP,2400000,3,5,3,5,7,5,7,5,3,8,8,5,8,6,5,13,75,5.77,15,83,5.53,0,0,0,0,0,0,0,6,3,0,0,0
"León, Gonzalo",DEF,Aldosivi de MdP,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Lequi, Matías",DEF,Aldosivi de MdP,3500000,3,4,6,6,6,6,8,5,0,0,0,0,21,5,3,9,66,7.33,11,73,6.64,1,1,0,1,0,0,0,4,5,0,0,0
"Ortíz, Guillermo",DEF,Aldosivi de MdP,3000000,0,0,0,0,0,0,0,0,2,8,5,4,0,0,5,5,24,4.8,5,24,4.8,0,0,0,0,0,1,0,2,1,0,0,0
"Quílez, Ismael",DEF,Aldosivi de MdP,3400000,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,4,4,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0
"Soto, Carlos",DEF,Aldosivi de MdP,3200000,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,5,5,1,5,5,0,0,0,0,0,0,0,0,0,0,0,0
